id,profile_id,type,amount,category_id,income_source_id,description,transaction_date,created_at,updated_at,notes,tags
0fb3a9f6-648f-4de6-9cc7-2e07584cdd00,4c276124-ba30-4bfb-aed2-4db99e9563bd,expense,280.00,14864275-f7a7-48ea-8d11-64bd8dbe5a83,,,2026-03-11,2026-03-11 22:22:15.432732+00,2026-03-11 22:22:15.432732+00,,
128bbffd-4ce1-4071-84d7-c318bd47244c,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,175.00,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-14,2026-03-15 04:07:06.27382+00,2026-03-15 04:07:06.27382+00,,
1511f5ad-865a-4bb4-8bce-fad901e548f0,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,45.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Male' to HM Phase 1 - Click Black (AOOG 8852),2026-03-15,2026-03-15 15:36:07.996287+00,2026-03-15 15:36:07.996287+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 1
Trips: 1
Rate: 45",
17092f08-5c7f-478a-b513-53db97007063,65ede15e-f450-4a42-b1d9-1496c3359b24,income,35.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Male' to Airport - Click Black (AOOG 8852),2026-03-17,2026-03-18 19:37:27.380318+00,2026-03-18 19:37:27.380318+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to Airport
Trips: 1
Rate: 35",
177f71b7-282b-4e5d-a720-17aac98d7b7c,65ede15e-f450-4a42-b1d9-1496c3359b24,income,35.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Airport to Male' - Click Black (AOOG 8852),2026-03-18,2026-03-18 19:35:06.090405+00,2026-03-18 19:35:06.090405+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Airport to Male'
Trips: 1
Rate: 35",
1814110e-2fb1-474b-97a0-51ddaffb383e,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,50.00,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-15,2026-03-15 09:26:17.816606+00,2026-03-15 09:26:17.816606+00,,
1aff74af-fe82-49d7-ae3c-02178c37f886,110675a7-0859-4951-9a93-a418f767c8d4,expense,212.00,,,Dhiraagu Phone,2026-03-20,2026-03-23 10:24:21.697234+00,2026-03-23 10:24:21.697234+00,,
1bd3c3af-0000-4aa5-94e4-4abb8ab042f1,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,432.00,bbf801db-2f62-4842-b718-086acb094de6,,Internet Service,2026-03-20,2026-03-23 10:24:21.697234+00,2026-03-23 10:24:21.697234+00,,
1f30a6fd-57b2-4267-b123-5c04e4c24f70,4c276124-ba30-4bfb-aed2-4db99e9563bd,expense,2000.00,41a8ccf0-9275-4df0-a798-fe742963c5c3,,Loan Payment - Ramadan Items,2026-02-20,2026-03-02 11:17:40.295771+00,2026-03-02 11:19:42.648822+00,,
287c4389-e079-445a-aae9-3d97742110d7,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,250.00,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-12,2026-03-13 21:44:55.793313+00,2026-03-13 21:44:55.793313+00,,
2a5c8024-441c-44ff-9e11-d15b640c15ba,4c276124-ba30-4bfb-aed2-4db99e9563bd,expense,61.93,6887abc8-cfb7-4c2e-8733-561e81602231,,Taxi expense - petrol - Click Black (AOOG 8852),2026-03-13,2026-03-13 21:42:21.86246+00,2026-03-13 21:42:21.86246+00,Vehicle: Click Black (AOOG 8852),
2c32f521-4a16-47a6-9922-03cd13d81dda,65ede15e-f450-4a42-b1d9-1496c3359b24,income,15.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-17,2026-03-18 19:35:35.935631+00,2026-03-18 19:35:35.935631+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 1
Rate: 15",
2f145702-fdfe-4800-8de7-9a7d0056c575,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,45.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Male' to HM Phase 1 - Click Black (AOOG 8852),2026-03-05,2026-03-05 04:58:22.971722+00,2026-03-05 04:58:22.971722+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 1
Trips: 1
Rate: 45",
2f186ea8-29e7-46a7-b920-3e5c455a0714,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,15.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Fahi Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-05,2026-03-05 15:39:55.23733+00,2026-03-05 15:39:55.23733+00,"Vehicle: Click Black (AOOG 8852)
App: Fahi Ride
Route: Inside Male'
Trips: 1
Rate: 15",
3037e082-1c64-4389-b4be-385416e09dd4,65ede15e-f450-4a42-b1d9-1496c3359b24,income,5000.00,,f84222f3-ff42-4145-bebc-c65cfe906a5d,March Bonus,2026-03-03,2026-03-03 20:42:23.174963+00,2026-03-03 20:42:23.174963+00,,
30911bd9-d5ed-476d-b347-45ea32031680,65ede15e-f450-4a42-b1d9-1496c3359b24,income,105.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-06,2026-03-06 16:23:11.801034+00,2026-03-06 16:23:11.801034+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 7
Rate: 15",
310c9c5c-8b45-437c-8573-1db95b1247fd,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,555.01,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-01,2026-03-01 20:14:28.2699+00,2026-03-01 20:14:28.2699+00,,
3117d577-dadc-48bd-a93a-43059572fc6b,65ede15e-f450-4a42-b1d9-1496c3359b24,income,45.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Male' to HM Phase 1 - Click Black (AOOG 8852),2026-03-08,2026-03-08 17:30:28.063471+00,2026-03-08 17:30:28.063471+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 1
Trips: 1
Rate: 45",
38ed5b4d-0d64-46c9-95a2-67bcc115735a,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,100.00,d4ad6a3a-429a-4ea2-8a79-44a3a7a9d9d3,,Car patrol,2026-03-09,2026-03-09 20:16:04.803428+00,2026-03-09 20:16:04.803428+00,,
3cc2d38c-142a-4918-9ca3-0be36dab2ae4,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,45.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Male' to HM Phase 1 - Click Black (AOOG 8852),2026-03-04,2026-03-05 04:56:40.746442+00,2026-03-05 04:56:40.746442+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 1
Trips: 1
Rate: 45",
3cc85fa2-fd0d-43e2-8f9a-e6a129d792c0,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,308.40,59bdf71e-fbc7-443c-8207-e094e7c9dc12,,"Credit card ",2026-03-10,2026-03-01 21:37:08.147162+00,2026-03-01 21:37:08.147162+00,,
3f3b33c8-1c1e-4e33-93d6-34d2e860007d,7bd8c236-a517-4e11-b02e-ff655d6aac58,expense,7150.00,b27a5199-4216-4e61-b550-7afdd0e8f870,,Resit exam,2026-03-08,2026-03-08 10:08:05.385881+00,2026-03-08 10:08:05.385881+00,Bio x4 ans maths,
406ddbb2-ae4f-4de3-a0a0-8a9d9feca8f2,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,1757.86,145b1eee-7935-495a-a78f-829fa5e52712,,STELCO Electricity,2026-03-07,2026-03-01 21:25:45.483776+00,2026-03-01 21:25:45.483776+00,,
40b3241d-513a-42b7-8522-8bf69e68c1df,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,1800.00,9173624c-f61c-417b-bd2d-415f515b1eb0,,30 plywood lifting,2026-03-09,2026-03-09 20:11:03.240469+00,2026-03-09 20:11:03.240469+00,,
40f331d7-9ee8-4364-b7c3-273b86166758,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,135.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-13,2026-03-13 21:40:47.462272+00,2026-03-13 21:40:47.462272+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 9
Rate: 15",
412a5798-5418-4376-999a-bf91a3d81ca4,7bd8c236-a517-4e11-b02e-ff655d6aac58,expense,600.00,b27a5199-4216-4e61-b550-7afdd0e8f870,,Azan Tuition Fee,2026-03-10,2026-03-10 18:00:52.940585+00,2026-03-10 18:00:52.940585+00,,
41882354-3e66-489b-b8df-6bf6c6d1ebb4,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,50.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Male' to HM Phase 2 - Click Black (AOOG 8852),2026-03-14,2026-03-15 12:37:14.984035+00,2026-03-15 12:39:54.004723+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 2
Trips: 1
Rate: 50",
437e8885-669c-4fd0-965a-ef8a40140d57,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,540.00,bbf801db-2f62-4842-b718-086acb094de6,,Medianet TV/Internet,2026-03-03,2026-03-03 15:36:47.52971+00,2026-03-03 15:36:47.52971+00,,
43ca49e5-ba1b-4ff0-8d9e-814dfe9885e0,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,250.00,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-19,2026-03-19 12:43:04.263167+00,2026-03-19 12:43:04.263167+00,,
44a8829d-b33a-4223-9ab2-3ad036d8e20b,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,45.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi income - Click Black (AOOG 8852),2026-03-02,2026-03-02 15:57:21.316735+00,2026-03-02 15:57:21.316735+00,"Vehicle: Click Black (AOOG 8852)
Trips: 3
Rate: 15",
463b9399-efd6-47fe-b752-6f0605ea2e56,4c276124-ba30-4bfb-aed2-4db99e9563bd,expense,648.00,6887abc8-cfb7-4c2e-8733-561e81602231,,Taxi expense - annual_fee - Click Black (AOOG 8852),2026-03-02,2026-03-02 16:37:01.198597+00,2026-03-02 16:37:01.198597+00,Vehicle: Click Black (AOOG 8852),
47697871-cd28-45b3-9e2a-573bae8598f4,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,300.00,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-08,2026-03-08 10:10:15.999879+00,2026-03-08 10:10:15.999879+00,,
4e78c25e-af19-4fdb-96d0-2ffefd2d1c62,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,60.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-15,2026-03-15 15:34:20.503224+00,2026-03-15 15:34:20.503224+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 4
Rate: 15",
52db2529-1176-424b-a281-41348b3440ec,110675a7-0859-4951-9a93-a418f767c8d4,expense,73.17,204a79b7-e549-46b6-8c2f-ec112b6b2f57,,Taxi expense - petrol - Click Black (AOOG 8852),2026-03-19,2026-03-19 19:14:53.477718+00,2026-03-19 19:14:53.477718+00,"Vehicle: Click Black (AOOG 8852)
FSM easy Fill",
533568c7-ce41-42bf-ae79-583dc17768cf,110675a7-0859-4951-9a93-a418f767c8d4,income,90.00,,d14518b6-2069-465c-9024-abb94ad99cf1,Taxi [Avas Ride] - Male' to HM Phase 1 - Click Black (AOOG 8852),2026-03-19,2026-03-19 19:12:45.927129+00,2026-03-19 19:12:45.927129+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 1
Trips: 2
Rate: 45",
5a9cd449-3e2a-42b9-841c-ded7ec899de8,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,27359.00,,9c6bd1b7-4e1a-40af-8d8e-0ac0a8186de1,,2026-03-01,2026-03-01 20:18:41.746741+00,2026-03-01 20:18:41.746741+00,,
5c13b02c-c031-4796-b7e3-0f1629117d4a,110675a7-0859-4951-9a93-a418f767c8d4,income,15.00,,d14518b6-2069-465c-9024-abb94ad99cf1,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-19,2026-03-19 19:12:33.397276+00,2026-03-19 19:12:33.397276+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 1
Rate: 15",
5d3da526-c7fa-49b9-906d-6036d2e6aa32,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,50.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Male' to HM Phase 2 - Click Black (AOOG 8852),2026-03-05,2026-03-05 15:40:16.886465+00,2026-03-05 15:40:16.886465+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 2
Trips: 1
Rate: 50",
60d69894-89db-4746-90a8-669754784dfe,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,428.30,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-03,2026-03-03 16:28:18.369036+00,2026-03-03 16:28:18.369036+00,,
60f94afa-5492-4139-84b3-7e256e8926ca,4c276124-ba30-4bfb-aed2-4db99e9563bd,expense,15.00,14864275-f7a7-48ea-8d11-64bd8dbe5a83,,,2026-03-02,2026-03-02 20:25:42.960262+00,2026-03-02 20:25:42.960262+00,,
6287ce3e-25c4-46cd-915a-79a3846cb631,69d73118-3820-4de5-b681-bf673bff18f8,expense,570.00,af44b007-2ee3-4df1-8577-5278cbb67731,,Aizan Quran class,2026-03-10,2026-03-10 18:07:34.281579+00,2026-03-10 18:07:34.281579+00,,
63a68420-21ed-464d-9ca4-4d2761fd48e1,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,46.99,2fd8391d-d82d-4f2a-ac6c-007964463312,,Taxi expense - petrol - Click Black (AOOG 8852),2026-03-18,2026-03-18 19:38:55.323824+00,2026-03-18 19:38:55.323824+00,"Vehicle: Click Black (AOOG 8852)
Villa Fuel",
655ee1b1-ac5d-4684-9fa6-5534e425b7d3,7bd8c236-a517-4e11-b02e-ff655d6aac58,income,35.00,,ed4cfea6-cdda-457d-892d-7bf7eeaccefb,Taxi [Avas Ride] - Airport to Male' - Click Black (AOOG 8852),2026-03-10,2026-03-10 18:02:19.520008+00,2026-03-10 18:02:19.520008+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Airport to Male'
Trips: 1
Rate: 35",
68ae45de-8e44-4233-8355-5ac95f23d26c,260724ca-c26a-4e5b-b4f6-0ec497ad2dc5,expense,432.00,f9b3fedb-dd44-4f68-a5bc-d265661c86b7,,Net bill,2026-03-02,2026-03-02 18:16:24.377672+00,2026-03-02 18:16:24.377672+00,,
6aa52009-5556-43e7-b46b-4a64c6cc20cf,65ede15e-f450-4a42-b1d9-1496c3359b24,income,20.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - HM Phase 1 to HM Phase 2 - Click Black (AOOG 8852),2026-03-09,2026-03-09 18:30:33.308044+00,2026-03-09 18:30:33.308044+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: HM Phase 1 to HM Phase 2
Trips: 1
Rate: 20",
6ab6f034-f7e3-4e24-b336-48ef9d8e6b30,65ede15e-f450-4a42-b1d9-1496c3359b24,income,45.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Male' to HM Phase 1 - Click Black (AOOG 8852),2026-03-07,2026-03-07 15:23:31.152873+00,2026-03-07 15:23:31.152873+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 1
Trips: 1
Rate: 45",
6cc6664c-08b6-492f-add8-f1faadf19a39,260724ca-c26a-4e5b-b4f6-0ec497ad2dc5,expense,1517.60,f9b3fedb-dd44-4f68-a5bc-d265661c86b7,,Water Bill,2026-03-02,2026-03-02 18:10:37.604653+00,2026-03-02 18:10:37.604653+00,,
6e4aefe5-ee51-4765-94a3-755fd4a480c0,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,922.00,9173624c-f61c-417b-bd2d-415f515b1eb0,,Sink,2026-03-01,2026-03-01 19:00:19.320461+00,2026-03-01 19:00:19.320461+00,Kitchen sink,
6ebdcec0-49c6-48dc-b6e7-1cfedd2a6bf2,65ede15e-f450-4a42-b1d9-1496c3359b24,income,45.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-09,2026-03-09 18:28:02.558539+00,2026-03-09 18:28:02.558539+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 3
Rate: 15",
6f46d3e8-57bc-4f86-be98-ce3fb795759a,65ede15e-f450-4a42-b1d9-1496c3359b24,income,60.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-09,2026-03-09 18:30:03.553186+00,2026-03-09 18:30:03.553186+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 4
Rate: 15",
7076690a-c919-4d76-b331-4640f04a0046,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,105.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-11,2026-03-11 18:46:18.115062+00,2026-03-11 18:46:18.115062+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 7
Rate: 15",
709e081f-730d-4a2c-90d4-1c5b65f4e2bf,4c276124-ba30-4bfb-aed2-4db99e9563bd,income,45.00,,c80bbdf7-2db2-4ca6-a5d5-98a579daa123,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-15,2026-03-15 15:35:34.78756+00,2026-03-15 15:35:34.78756+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 3
Rate: 15",
7191110b-7d5f-45c0-9363-43be764e7231,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,4000.00,9173624c-f61c-417b-bd2d-415f515b1eb0,,Sitting room ac,2026-03-01,2026-03-01 18:55:39.714959+00,2026-03-01 18:55:39.714959+00,Sitting room ac installation and service,
71d73d05-d22f-4403-a50c-eda932170b7a,260724ca-c26a-4e5b-b4f6-0ec497ad2dc5,expense,1145.71,f9b3fedb-dd44-4f68-a5bc-d265661c86b7,,Electric bill,2026-03-02,2026-03-02 18:13:12.698322+00,2026-03-02 18:13:12.698322+00,,
737c8ff4-5697-4954-982a-48b3a51d3df1,4c276124-ba30-4bfb-aed2-4db99e9563bd,expense,65.00,6887abc8-cfb7-4c2e-8733-561e81602231,,Taxi expense - other - Click Black (AOOG 8852),2026-03-02,2026-03-02 15:58:06.938049+00,2026-03-02 15:58:06.938049+00,"Vehicle: Click Black (AOOG 8852)
2 mirrors",
7561c799-b115-412b-969d-a352b3373ff4,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,253.50,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-15,2026-03-15 09:17:31.466964+00,2026-03-15 09:17:31.466964+00,,
769fc7cc-b2bd-44dd-b591-e5f44d3d36d6,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,96.98,bede1b5b-0fe8-4f04-9465-61db1cb1f9e7,,,2026-03-15,2026-03-15 08:56:11.099356+00,2026-03-15 08:56:11.099356+00,,
76ca64bc-ef55-42b5-8a42-f547d748e3c6,65ede15e-f450-4a42-b1d9-1496c3359b24,income,750.00,,38c07232-cfbf-41d8-b7d9-6a36efd69af2,Food Allowance,2026-03-03,2026-03-03 20:53:11.373967+00,2026-03-03 20:53:11.373967+00,"March half ",
77f10c0b-4ff9-4413-b5ad-442e43833e53,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,80.00,9173624c-f61c-417b-bd2d-415f515b1eb0,,Extension cord,2026-03-01,2026-03-01 19:43:21.771838+00,2026-03-01 19:43:21.771838+00,Extension cord from huaopan,
819fb039-3b11-4a5b-b90f-93ab6fe5a27d,4c276124-ba30-4bfb-aed2-4db99e9563bd,expense,187.10,14864275-f7a7-48ea-8d11-64bd8dbe5a83,,Sur,2026-02-28,2026-02-28 11:56:09.548996+00,2026-02-28 11:56:09.548996+00,,
83f943bf-10c7-41ed-be4f-a543bd21baab,4c276124-ba30-4bfb-aed2-4db99e9563bd,expense,49.45,6887abc8-cfb7-4c2e-8733-561e81602231,,Taxi expense - petrol - Click Black (AOOG 8852),2026-03-15,2026-03-15 12:40:57.581123+00,2026-03-15 12:40:57.581123+00,"Vehicle: Click Black (AOOG 8852)
FSM",
84e623c5-4341-466b-8de8-36e8b3fd28cb,65ede15e-f450-4a42-b1d9-1496c3359b24,income,270.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Male' to HM Phase 1 - Click Black (AOOG 8852),2026-03-09,2026-03-09 18:31:07.090679+00,2026-03-09 18:31:07.090679+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Male' to HM Phase 1
Trips: 6
Rate: 45",
864d06c5-ad63-4909-9215-73dd27ec2bbd,7bd8c236-a517-4e11-b02e-ff655d6aac58,income,60.00,,ed4cfea6-cdda-457d-892d-7bf7eeaccefb,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-10,2026-03-10 18:02:01.638437+00,2026-03-10 18:02:01.638437+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 4
Rate: 15",
88fba3ce-5e8f-4ed2-97c1-2b91d59209a4,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,920.00,9173624c-f61c-417b-bd2d-415f515b1eb0,,Curtain rods,2026-03-01,2026-03-01 18:44:42.299892+00,2026-03-01 18:44:42.299892+00,6 rods,
89921a56-8f4a-43ae-bfad-6cbdf7a6a180,65ede15e-f450-4a42-b1d9-1496c3359b24,expense,200.00,145b1eee-7935-495a-a78f-829fa5e52712,,Villa Gas,2026-02-27,2026-02-27 17:26:20.942969+00,2026-02-27 17:26:20.942969+00,,
8cdd41cc-1c84-4678-b63f-abc70de7c085,65ede15e-f450-4a42-b1d9-1496c3359b24,income,45.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Inside Male' - Click Black (AOOG 8852),2026-03-16,2026-03-18 19:35:58.094798+00,2026-03-18 19:35:58.094798+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Inside Male'
Trips: 3
Rate: 15",
8e7f32e3-f5d8-4561-95b8-9c96a9ea638f,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,502.00,9173624c-f61c-417b-bd2d-415f515b1eb0,,4 pannel cartain,2026-03-16,2026-03-16 19:11:23.182793+00,2026-03-16 19:11:23.182793+00,,
8f53c20c-99bf-492b-908e-1ca1cd409656,65ede15e-f450-4a42-b1d9-1496c3359b24,income,35.00,,5cadc13a-25cb-484a-9b31-a4768623eb2b,Taxi [Avas Ride] - Airport to Male' - Click Black (AOOG 8852),2026-03-07,2026-03-07 15:23:23.308751+00,2026-03-07 15:23:23.308751+00,"Vehicle: Click Black (AOOG 8852)
App: Avas Ride
Route: Airport to Male'
Trips: 1
Rate: 35",
8ff75369-a661-47a4-b5d6-9389347c0ed0,5ae43916-9d10-49aa-bbe6-718ede476e8a,expense,25000.00,fc25a7c2-65fb-487d-a5fc-bca5a4ef5e45,,Advance,2026-03-01,2026-03-01 18:52:26.447562+00,2026-03-01 18:52:26.447562+00,Advance for FDC,
